"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000034634"	5.87145433481942	4.85598855532424	5.4304038468675e-227	7.19311293556069e-223
"ENSMUSG00000042041"	4.24889433270439	5.51360404774058	1.64046371130454e-192	1.086479115997e-188
"ENSMUSG00000058672"	3.91619482508744	7.94989167291805	5.7140515396449e-191	2.52294422313788e-187
"ENSMUSG00000029822"	3.68192566826415	4.89315881464771	7.59510851980915e-180	2.5151201863348e-176
"ENSMUSG00000029272"	9.6597275823369	4.47868911179371	5.551160151393e-174	1.47061334730703e-170
"ENSMUSG00000002944"	2.77429456324276	7.66490582904085	2.28999633848797e-167	5.05554858326861e-164
"ENSMUSG00000061540"	3.84000851009743	5.55223169992167	2.58143647872484e-166	4.88481537102702e-163
"ENSMUSG00000032080"	5.73929336268991	10.7768746576948	5.62243689468059e-166	9.30934988836738e-163
"ENSMUSG00000055254"	5.73391586281109	3.80215576222367	7.56977210499842e-153	1.11410223669788e-149
"ENSMUSG00000068220"	2.44772810490715	5.58643582834176	3.59600622104308e-146	4.76326984039366e-143
"ENSMUSG00000060803"	-2.56722176105216	11.1024362463684	2.2884223045199e-140	2.7556765314246e-137
"ENSMUSG00000079507"	6.01099729402071	3.71306872413712	3.71288409478484e-137	4.09840522662667e-134
"ENSMUSG00000032349"	2.64542050669012	8.47224474378904	2.83836255839117e-134	2.89207311141919e-131
"ENSMUSG00000091867"	5.88120803884954	5.97274696416553	1.28137815346043e-131	1.21236678719549e-128
"ENSMUSG00000096688"	-5.61408098381159	8.43548936830803	4.51648620435095e-120	3.98835841752218e-117
"ENSMUSG00000032098"	3.90566509994588	3.32819933765665	1.25652165743039e-119	1.04024286714519e-116
"ENSMUSG00000073834"	-6.28051009880553	7.87350881936719	9.15229141654399e-119	7.13125012373774e-116
"ENSMUSG00000012187"	4.66519437967473	2.51882254214809	1.26158107903643e-116	9.28383498495363e-114
"ENSMUSG00000028445"	-4.87389502329273	2.60604253314065	1.04544460718038e-115	7.28839961405858e-113
"ENSMUSG00000012123"	3.59671774570719	3.45308438350084	1.04301887392284e-108	6.90791400199097e-106
"ENSMUSG00000024391"	-2.2249966062853	7.08619098518361	2.46522447330212e-105	1.55496968444571e-102
"ENSMUSG00000040660"	7.78885666906905	7.48486338804035	1.49662305236838e-104	9.01103134166891e-102
"ENSMUSG00000030278"	4.9316881935414	6.12945937349436	2.49550384983357e-102	1.43719321716937e-99
"ENSMUSG00000068877"	-8.19230561035212	9.2567269449817	9.57787432278605e-102	5.28618846998434e-99
"ENSMUSG00000096674"	-6.63025093199908	8.6824566740892	1.78041710715464e-100	9.43336200054815e-98
"ENSMUSG00000022883"	2.91460180087829	4.62588186214414	1.04648104471008e-96	5.33141843008835e-94
"ENSMUSG00000000303"	-3.07681887185944	4.75198011251376	1.2712655873929e-95	6.23673480392827e-93
"ENSMUSG00000024411"	3.78813945445953	4.54119891008508	5.16030658462202e-95	2.44119360785369e-92
"ENSMUSG00000045776"	4.27683059303781	4.909159250184	4.02513222245334e-93	1.83851384202127e-90
"ENSMUSG00000001313"	1.91985379274341	4.82020072411388	9.42452648466193e-92	4.16124259386107e-89
"ENSMUSG00000028494"	1.83002815499851	9.08551870485997	1.06482395985907e-88	4.54988973299784e-86
"ENSMUSG00000008734"	3.75178953816732	3.0063928231358	4.17768026591061e-87	1.72929852507037e-84
"ENSMUSG00000073643"	2.14268422532965	4.15069182386124	1.58997724569144e-86	6.38207230194812e-84
