	logFC	logCPM	PValue	FDR
ENSMUSG00000066072	4.28167925	11.48418162	1.05E-218	1.28E-214
ENSMUSG00000015357	3.01574475	7.990620206	6.39E-139	3.89E-135
ENSMUSG00000028957	-4.397453047	4.657639026	5.70E-125	2.31E-121
ENSMUSG00000023067	6.627807832	5.96061565	5.96E-124	1.81E-120
ENSMUSG00000055116	4.389976059	3.881533232	1.48E-117	3.60E-114
ENSMUSG00000028715	4.32671237	12.01035726	4.96E-108	1.01E-104
ENSMUSG00000059824	-5.991917341	6.214242639	8.98E-85	1.56E-81
ENSMUSG00000028712	3.633323081	4.399187047	4.36E-83	6.63E-80
ENSMUSG00000029009	3.327779143	4.654651611	9.10E-83	1.23E-79
ENSMUSG00000003721	3.518224601	8.482342419	2.41E-79	2.93E-76
ENSMUSG00000047446	2.06438207	5.13636278	2.29E-72	2.53E-69
ENSMUSG00000035686	-5.356167616	8.814810025	1.53E-69	1.56E-66
ENSMUSG00000011305	2.738419807	6.956996505	1.41E-65	1.32E-62
ENSMUSG00000026853	1.969525545	6.797361307	6.91E-63	6.01E-60
ENSMUSG00000020538	-3.910153209	8.652277774	1.75E-59	1.42E-56
ENSMUSG00000025002	-4.166964655	3.512992643	1.12E-58	8.56E-56
ENSMUSG00000056666	1.989417005	10.28306414	2.32E-58	1.66E-55
ENSMUSG00000026839	-2.686875016	8.585313239	1.15E-55	7.76E-53
ENSMUSG00000030103	-2.444498991	6.900736017	1.03E-52	6.57E-50
ENSMUSG00000074398	5.595402238	2.112442269	6.59E-52	4.01E-49
ENSMUSG00000072949	2.947101429	6.860273749	5.49E-51	3.18E-48
ENSMUSG00000067071	-2.068386586	5.871634257	9.88E-51	5.47E-48
ENSMUSG00000032349	2.364067896	8.164119188	1.99E-50	1.05E-47
ENSMUSG00000022853	2.059184406	9.617662486	2.78E-49	1.41E-46
ENSMUSG00000031024	1.721780451	5.043877383	4.16E-48	2.03E-45
ENSMUSG00000027875	1.553846602	12.19472595	1.01E-47	4.75E-45
ENSMUSG00000024843	2.064368349	4.879728578	2.23E-47	1.00E-44
ENSMUSG00000036957	2.482563213	3.828957304	3.12E-47	1.36E-44
ENSMUSG00000024827	1.813225598	8.19836684	6.42E-47	2.65E-44
ENSMUSG00000000876	1.545176636	6.799152253	6.52E-47	2.65E-44
ENSMUSG00000091780	1.958879018	5.636569146	2.91E-46	1.14E-43
ENSMUSG00000024589	1.726750282	5.560471035	4.90E-46	1.86E-43
ENSMUSG00000057103	-2.025269539	6.820789657	6.56E-45	2.42E-42
ENSMUSG00000044254	-4.505354918	5.381212476	7.15E-45	2.56E-42
ENSMUSG00000027993	1.661948935	4.963894397	1.35E-44	4.70E-42
ENSMUSG00000008035	-2.911336637	6.257607172	4.52E-44	1.53E-41
ENSMUSG00000038539	2.08835488	8.084004088	2.22E-42	7.31E-40
ENSMUSG00000028494	1.854370415	9.03705853	5.85E-42	1.87E-39
ENSMUSG00000002831	2.696518845	4.873111963	6.20E-42	1.94E-39
ENSMUSG00000078817	2.640247144	6.411243929	1.12E-41	3.39E-39
ENSMUSG00000020642	2.25153104	2.666059821	1.24E-41	3.63E-39
ENSMUSG00000029314	1.739141223	3.720100293	1.25E-41	3.63E-39
ENSMUSG00000031016	-2.972900929	3.531675848	2.22E-41	6.28E-39
ENSMUSG00000038550	-2.622766216	3.367098626	5.14E-41	1.42E-38
ENSMUSG00000052632	2.247034554	3.666999007	3.30E-40	8.92E-38
ENSMUSG00000034248	-1.641275798	5.45552151	8.04E-40	2.13E-37
ENSMUSG00000022389	-1.766071719	7.411269917	1.48E-39	3.84E-37
ENSMUSG00000087382	2.973383424	3.147070378	3.06E-39	7.76E-37
ENSMUSG00000049685	-5.497028596	1.095614521	3.27E-39	8.12E-37
ENSMUSG00000037379	2.790327984	3.402909499	5.98E-39	1.45E-36
ENSMUSG00000060807	-2.752086316	7.240630774	3.16E-38	7.54E-36
ENSMUSG00000005547	-2.538211306	9.908440739	8.52E-38	1.99E-35
ENSMUSG00000019082	2.001034988	8.593963352	8.89E-37	2.04E-34
ENSMUSG00000029385	1.83176767	4.018321449	3.00E-36	6.76E-34
ENSMUSG00000032310	-1.560387171	9.111506902	1.16E-35	2.56E-33
ENSMUSG00000042834	-3.839465372	4.892079682	1.71E-35	3.71E-33
ENSMUSG00000060519	1.994714159	3.600332635	8.90E-35	1.90E-32
ENSMUSG00000032080	4.439105052	9.448582621	1.03E-34	2.16E-32
ENSMUSG00000003477	-2.741982044	9.807205051	4.77E-34	9.84E-32
ENSMUSG00000024913	1.51847421	6.663875062	1.49E-33	3.03E-31
ENSMUSG00000030643	2.913111635	4.239307321	2.07E-33	4.14E-31
ENSMUSG00000025464	-1.708263682	5.221162581	4.80E-33	9.42E-31
ENSMUSG00000031808	2.438452137	5.000869211	5.21E-33	1.01E-30
ENSMUSG00000043671	-2.505611177	3.316016607	7.28E-33	1.38E-30
ENSMUSG00000060613	-2.855653277	8.109158177	1.16E-32	2.16E-30
ENSMUSG00000029482	-2.944075696	6.218139843	2.56E-32	4.72E-30
ENSMUSG00000031767	-2.838431023	8.43750823	3.64E-32	6.61E-30
ENSMUSG00000042041	3.035185937	4.272983711	5.60E-32	1.00E-29
ENSMUSG00000020733	-1.328744816	7.652243727	5.72E-32	1.01E-29
ENSMUSG00000042363	2.102035532	3.983862112	7.79E-32	1.35E-29
ENSMUSG00000062410	-2.076324632	7.405227299	1.97E-31	3.38E-29
ENSMUSG00000039934	-1.596478831	4.681946452	2.11E-31	3.57E-29
ENSMUSG00000039982	1.867894312	3.570072867	3.05E-31	5.08E-29
ENSMUSG00000022025	-2.696731584	2.446918423	3.89E-31	6.39E-29
ENSMUSG00000069324	2.869752881	4.369764625	5.16E-31	8.38E-29
ENSMUSG00000025511	-1.374380486	5.682918098	5.35E-31	8.57E-29
ENSMUSG00000067279	1.706762704	5.929078115	7.47E-31	1.18E-28
ENSMUSG00000060961	1.464815811	6.853492629	7.76E-31	1.21E-28
ENSMUSG00000029650	-1.684928046	5.263112091	7.88E-31	1.22E-28
ENSMUSG00000002265	1.889968399	4.052431127	1.71E-30	2.61E-28
ENSMUSG00000045294	-2.550432986	7.472234169	1.74E-30	2.61E-28
ENSMUSG00000019577	3.377571887	4.019605141	1.90E-30	2.82E-28
ENSMUSG00000109089	1.859718365	3.662634086	2.70E-30	3.94E-28
ENSMUSG00000050445	1.952331897	9.498452036	2.72E-30	3.94E-28
ENSMUSG00000031924	-1.543369552	8.580867259	4.14E-30	5.92E-28
ENSMUSG00000022218	-1.546468225	3.97834879	5.67E-30	8.02E-28
ENSMUSG00000026259	-1.367895882	5.193390838	1.03E-29	1.43E-27
ENSMUSG00000042476	1.322150464	8.292170769	1.11E-29	1.54E-27
ENSMUSG00000003053	-2.096012834	11.54884694	1.42E-29	1.94E-27
ENSMUSG00000025260	1.288066866	7.966313343	3.43E-29	4.64E-27
ENSMUSG00000032902	1.45254009	5.490623349	5.09E-29	6.82E-27
ENSMUSG00000026074	1.468860337	3.679820176	5.51E-29	7.29E-27
