"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000011305"	2.24042087492147	6.54560554795165	5.90221621310923e-77	7.12869674219332e-73
"ENSMUSG00000002831"	2.54215410079541	4.74164019280979	2.39831432760308e-63	1.4483420224395e-59
"ENSMUSG00000021750"	6.63812553439033	3.55197944179768	2.25179546467797e-55	9.0657285407935e-52
"ENSMUSG00000056608"	2.45475500455873	7.56580476078138	2.66394492566198e-48	8.04378170303634e-45
"ENSMUSG00000078234"	-2.37096697913783	4.7376571787752	1.24455924107047e-42	3.00635730272982e-39
"ENSMUSG00000052934"	1.49888743387532	7.09580535275903	1.25247439072661e-38	2.52123094853266e-35
"ENSMUSG00000008035"	-2.73986893563004	6.30206147519289	4.57188066665831e-38	7.88845352741415e-35
"ENSMUSG00000024222"	2.57597557239442	7.56084803119821	1.34770206510585e-37	2.03469319279355e-34
"ENSMUSG00000090264"	2.73809548979758	6.79134041695602	1.45742863594588e-36	1.95586922943937e-33
"ENSMUSG00000030909"	-1.31670607503326	5.8979037670868	7.33139721960174e-35	8.85486156183498e-32
"ENSMUSG00000023067"	4.23328542056856	3.60712287487436	1.04634155238025e-34	1.14888302451351e-31
"ENSMUSG00000027962"	1.96657680735499	4.42872008303932	1.37634983961036e-34	1.35331689027605e-31
"ENSMUSG00000003134"	1.83097008309418	5.05656652122475	1.45662523377948e-34	1.35331689027605e-31
"ENSMUSG00000022270"	1.75758096668575	6.60902273874175	2.43424380177222e-33	2.10005690270035e-30
"ENSMUSG00000056091"	1.931340084197	8.41752954324035	1.21750026725813e-32	9.80331215196243e-30
"ENSMUSG00000031762"	3.56530929760113	7.48479454112183	2.55723734961959e-32	1.93039454429409e-29
"ENSMUSG00000020593"	3.02307923754972	9.60579732635709	8.3457296697693e-32	5.92939546773374e-29
"ENSMUSG00000021453"	3.37427693405376	5.24921540440327	2.0076235304103e-30	1.34711538890531e-27
"ENSMUSG00000072949"	2.32157622922775	6.33541476912158	1.04651685308418e-29	6.65254239555302e-27
"ENSMUSG00000101517"	1.45309491289303	3.89414020887527	7.14511231008471e-29	4.31493332406016e-26
"ENSMUSG00000022388"	3.23933445834681	1.49542198477783	2.61152690395621e-28	1.50200104504682e-25
"ENSMUSG00000023150"	1.40483867725994	7.52806657472673	2.92470217635841e-28	1.60566149482076e-25
"ENSMUSG00000055322"	1.19791350084615	7.84678856566047	9.42037940779003e-28	4.94692793422991e-25
"ENSMUSG00000010601"	-1.63515992220969	6.72012366663173	9.99933983418931e-28	5.03216777155577e-25
"ENSMUSG00000020538"	-2.25842000362271	8.85121238552921	2.0920739705176e-27	1.01072277663646e-24
"ENSMUSG00000032220"	1.25481058261791	5.95083979512588	3.05156279783697e-27	1.41756828739519e-24
"ENSMUSG00000030787"	1.40745513773672	3.48404470794866	3.7434054305872e-27	1.67455002928267e-24
"ENSMUSG00000038582"	1.24643797036302	5.11472355770213	4.76087743013495e-27	2.05363848575607e-24
"ENSMUSG00000003721"	1.4893452002965	6.78731047622178	8.541053448024e-27	3.55720150155979e-24
"ENSMUSG00000025089"	1.05666024286414	8.05582632057488	9.92035865699339e-27	3.99393639530554e-24
"ENSMUSG00000000915"	1.5444355529758	5.76609246266406	1.21222706158878e-26	4.72299304834491e-24
"ENSMUSG00000045094"	1.37545361551131	4.60625814100602	2.59719355625345e-26	9.8027824288841e-24
"ENSMUSG00000071369"	1.33193601745959	5.90097013581302	2.82649820247583e-26	1.03449834210615e-23
"ENSMUSG00000031765"	2.78951490342612	8.03681160935565	1.04016181734255e-25	3.69502189113629e-23
"ENSMUSG00000078817"	1.96759145454872	5.86334765077139	1.49172415856232e-25	5.14772696774736e-23
"ENSMUSG00000024052"	1.23535210746942	9.1275691300209	3.24690886097841e-25	1.08933792285825e-22
"ENSMUSG00000025190"	1.87162367059785	8.74967079554473	1.14891463296541e-24	3.75042998296116e-22
"ENSMUSG00000030551"	-1.14638672382063	4.46769393786439	1.39482876799156e-24	4.43335312100054e-22
"ENSMUSG00000029167"	1.87720739559009	3.26893270952965	1.83058284698306e-24	5.66917426304137e-22
"ENSMUSG00000047731"	1.006650547027	8.86034126041593	1.96662047215332e-24	5.93821051566695e-22
"ENSMUSG00000027983"	-1.42904704240594	3.82548520563017	1.14758714290124e-23	3.38062378340517e-21
"ENSMUSG00000042246"	1.82289013716257	3.56730742604522	1.19194215614546e-23	3.42768508617259e-21
"ENSMUSG00000022299"	1.23012497080255	5.57620498666613	1.79355659843576e-23	5.03780851067607e-21
"ENSMUSG00000066687"	2.77037621184775	4.94152329502134	5.01871195363989e-23	1.37763643127415e-20
"ENSMUSG00000047822"	-2.92522446527125	5.37006401582513	1.02676628271497e-22	2.75584070280697e-20
"ENSMUSG00000032194"	-1.10048116387048	5.52246866532331	1.21226807181554e-22	3.18299429812784e-20
"ENSMUSG00000028862"	2.74508448166583	2.19266667617126	1.63344246835429e-22	4.19759960271982e-20
"ENSMUSG00000020889"	-1.453159666209	5.67597664923255	2.09601602584443e-22	5.27410032503105e-20
"ENSMUSG00000040648"	1.21061070952689	5.88608730385474	3.12059482651524e-22	7.69194781931654e-20
"ENSMUSG00000024589"	1.10583972258777	5.12414360587985	4.90761932153875e-22	1.1854845233109e-19
"ENSMUSG00000034177"	-1.37116496792097	4.42790469747126	5.06117154973191e-22	1.19860450936592e-19
"ENSMUSG00000066072"	1.48541482765658	9.07318166695859	7.32261825481028e-22	1.70081890926151e-19
"ENSMUSG00000026116"	0.960399149401347	5.63182249323014	9.78660766478733e-22	2.23023862972267e-19
"ENSMUSG00000035811"	-1.07560937752767	8.15526091335601	1.20647873454244e-21	2.69849076959326e-19
"ENSMUSG00000008845"	1.59964230242635	4.75506378322563	1.2824414417346e-21	2.81624140604918e-19
