"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000015357"	2.57455881754978	7.91795466469156	3.79126101213511e-275	4.76826897496233e-271
"ENSMUSG00000020917"	-3.29627379889362	8.90993974014051	3.53016912745115e-173	2.21994685579766e-169
"ENSMUSG00000025153"	-3.61113704584172	10.4844936197666	6.43885775907457e-171	2.69938380119603e-167
"ENSMUSG00000008035"	-2.83365119978299	5.9517740397272	8.9795598483034e-136	2.8233981053028e-132
"ENSMUSG00000003721"	2.46419008102563	9.28433454517954	3.74514621498796e-134	9.42054078918073e-131
"ENSMUSG00000044254"	-3.06651250936115	4.77388017352672	2.74369371372761e-122	5.7512393062587e-119
"ENSMUSG00000045294"	-2.16234879161316	7.11161634705576	1.72771208412707e-121	3.10420498315231e-118
"ENSMUSG00000021670"	-2.15184094483453	5.71432168233908	2.62451473586861e-117	4.12606522912744e-114
"ENSMUSG00000028957"	-3.17896024127017	4.31583603378061	1.13809353121391e-103	1.59042248245304e-100
"ENSMUSG00000042978"	-1.65949775974515	5.88783343438742	7.76559844855972e-96	9.76679316875356e-93
"ENSMUSG00000023067"	3.25724563579287	6.53728268258298	8.88385346214487e-95	1.01574749993996e-91
"ENSMUSG00000011305"	1.64221492068668	7.17192986111933	3.72023138120401e-94	3.89911250678357e-91
"ENSMUSG00000041237"	-2.39598399484101	9.23945672953044	2.33414137097622e-88	2.25819200175138e-85
"ENSMUSG00000029009"	2.46694955374437	4.93188852666285	5.37446554107262e-86	4.82818950786216e-83
"ENSMUSG00000055866"	-2.36255181911883	4.84178363131902	1.04928327036354e-84	8.79789046090819e-82
"ENSMUSG00000028051"	-2.81464536254346	5.43512473849976	2.49053353408184e-84	1.9577150161342e-81
"ENSMUSG00000055116"	3.54249055947761	3.69579756463444	3.12882221952547e-82	2.31477629735129e-79
"ENSMUSG00000032193"	-1.70079403732118	7.371098870993	1.46945241906409e-78	1.02673905969828e-75
"ENSMUSG00000016024"	1.29916377602897	7.14207068556562	1.85857638695422e-77	1.23027974835385e-74
"ENSMUSG00000034371"	-2.29386149543345	9.60295103258007	4.11685345624194e-77	2.58888329595774e-74
"ENSMUSG00000024378"	-1.88900641795086	5.70602794281994	9.72405766397091e-76	5.82378443998867e-73
"ENSMUSG00000025981"	-2.15187325191391	4.67433528992533	1.29127339388461e-75	7.38197521585763e-73
"ENSMUSG00000035686"	-3.05956099504745	9.70347818606034	1.52910308881713e-69	8.36153458611e-67
"ENSMUSG00000091780"	1.42293803890232	6.46622450828988	2.98252810277311e-69	1.56296899785739e-66
"ENSMUSG00000031765"	3.24203857398348	8.27266117916527	1.8055493832488e-67	9.08335783724805e-65
"ENSMUSG00000078817"	2.37297150061908	5.4091295951733	1.4498141879914e-66	7.01319732398765e-64
"ENSMUSG00000034853"	-1.76637897884814	5.80075341102418	1.77152963494457e-66	8.25204748840661e-64
"ENSMUSG00000024843"	2.71497856634512	5.52748220183318	3.38175214330042e-64	1.51901059665319e-61
"ENSMUSG00000031016"	-1.98229788419039	3.80901435279294	4.41766655224097e-64	1.91589628370809e-61
"ENSMUSG00000029482"	-2.63928173669595	6.47017866248772	1.52455467514257e-63	6.39144138308937e-61
"ENSMUSG00000031604"	-1.58813333032294	5.77170541177721	7.48569901915147e-62	3.03702053431832e-59
"ENSMUSG00000041220"	-3.45376105515712	8.46444296983296	1.79032723045251e-61	7.03654549293788e-59
"ENSMUSG00000040998"	3.35876004157349	2.55907231388029	4.08885832905552e-61	1.55835064256155e-58
