"logFC.group_allWT.12"	"logFC.group_allWT.16"	"logFC.group_allWT.2"	"logFC.group_allWT.24"	"logFC.group_allWT.4"	"logFC.group_allWT.6"	"logFC.group_allWT.8"	"logCPM"	"LR"	"PValue"	"FDR"
"ENSMUSG00000015357"	2.84152074240213	3.01229351799408	0.0701448458212865	0.836091787202103	0.808602411179241	1.62238939394949	2.30071067436856	7.61397140010696	1229.35811858406	3.16292071136976e-261	4.52550695382785e-257
"ENSMUSG00000029009"	3.17887885687102	3.32414840661235	0.426987199243934	1.19359333071787	0.593707036124241	1.74547318194656	2.99328131047387	4.34746125279904	1033.56826955364	6.71893763888605e-219	4.80672798685908e-215
"ENSMUSG00000059824"	-5.52771225250577	-5.99434284599319	-0.643129291524678	-0.913917112694499	-1.22853882187985	-3.28326835483516	-4.10847251574237	5.63605005310574	932.449674669395	4.71376738868421e-197	2.24815279324312e-193
"ENSMUSG00000066072"	3.97537492599562	4.27921555855771	-0.0801071285336215	4.30197949147154	1.48895054402242	2.66934592575677	3.32693603445357	11.3353895350173	927.063588160765	6.8653996217663e-196	2.45575344470581e-192
"ENSMUSG00000057103"	-1.52803339699084	-2.02942567969371	-0.0979709006005958	-1.80369217162282	-0.377994096334407	-0.704842218330424	-0.941163170601844	6.6984646399007	843.798310985764	6.5395105208269e-178	1.87134633063983e-174
"ENSMUSG00000028957"	-3.18161853467441	-4.40015225485964	-0.445803500223156	-1.03735046254914	-0.669305054240435	-1.18050587282383	-1.63008096837341	4.45605103536686	786.730106266442	1.35488719833614e-165	3.23095433896558e-162
"ENSMUSG00000038539"	1.86451072391116	2.08609575876535	-0.278047090947378	1.29730599186671	-0.422359055933915	0.417053411494444	1.16947089696235	7.69174149222591	698.070685333252	1.79716054917937e-146	3.67339616252264e-143
"ENSMUSG00000024843"	1.71570369418053	2.05962710770378	-0.072410884569548	0.0888050604477796	0.374464428612769	1.20852587438621	1.42889725787975	4.53913189684531	657.523122448597	9.87641799801762e-138	1.76639735894545e-134
"ENSMUSG00000020538"	-3.45504439933757	-3.91509116496377	-1.15419257439485	-3.88373415851599	-2.25761075889101	-3.32894896531028	-3.47850449672994	7.57297696003344	652.919853472844	9.69576430936936e-137	1.54141106376063e-133
"ENSMUSG00000055116"	4.21187148941546	4.408164693166	0.726025423351858	1.39987343670578	1.6757208830211	3.30607273563112	3.69276375780809	3.53081932469115	622.234787585614	3.95967681474916e-130	5.66550558654309e-127
