	logFC.group_allob.ob.12	logFC.group_allob.ob.16	logFC.group_allob.ob.2	logFC.group_allob.ob.24	logFC.group_allob.ob.4	logFC.group_allob.ob.6	logFC.group_allob.ob.8	logCPM	LR	PValue	FDR
ENSMUSG00000015357	2.671567473	2.57553168	0.373948947	0.815501293	1.003756154	1.630736337	2.145956718	7.790889058	1329.312253	7.59E-283	1.09E-278
ENSMUSG00000039982	2.167234176	1.93385647	-0.099937039	-0.053850048	0.476916102	0.999247978	1.633322208	4.114300475	748.3763341	2.55E-157	1.82E-153
ENSMUSG00000055116	3.436659897	3.523819978	0.571526119	0.562796834	1.652325889	2.662096633	3.171089451	3.572301118	644.7456726	5.60E-135	2.67E-131
ENSMUSG00000028957	-2.94864041	-3.182663899	-0.088746332	-0.066862975	-0.214010654	-0.795645771	-1.705508588	4.383142282	634.3355755	9.79E-133	3.50E-129
ENSMUSG00000055866	-2.198585716	-2.363582714	0.05097532	0.258080155	0.346567854	-0.196992229	-0.609475792	5.211111124	627.1089805	3.53E-131	1.01E-127
ENSMUSG00000091780	1.2529273	1.426370052	-0.079424552	0.617124809	-0.083352222	0.251699232	0.643328822	6.177970071	611.070822	1.01E-127	2.40E-124
ENSMUSG00000029009	2.651969348	2.466151603	0.067794696	0.751403442	0.978164013	1.597159855	2.32735953	4.899804491	584.3063419	5.83E-122	1.19E-118
ENSMUSG00000005125	2.326785881	1.961953024	0.273669119	0.384197027	0.425186097	0.741202296	1.343516917	4.365962555	581.2733802	2.62E-121	4.69E-118
ENSMUSG00000022615	1.051618462	1.254527893	-0.215623246	0.3741213	-0.354699262	0.054229922	0.288838999	6.71455383	573.1084363	1.50E-119	2.39E-116
ENSMUSG00000024378	-1.353998185	-1.88618119	-0.105624026	-1.729504939	-0.55092223	-0.615318113	-0.836097894	5.579035992	544.3985019	2.26E-113	3.24E-110
ENSMUSG00000021775	-1.615933135	-1.084748662	0.142565306	0.006775191	0.010026166	-0.260728998	-0.945288952	5.875605216	541.3279554	1.04E-112	1.35E-109
ENSMUSG00000020642	2.045561803	2.348558424	-0.169507853	0.136616819	-0.040710466	0.503257722	1.061769784	3.082576951	529.5468608	3.55E-110	4.23E-107
ENSMUSG00000000876	1.288961323	1.13279652	0.217255693	0.345764189	0.368221524	0.659081016	1.009844896	6.948407835	525.2032304	3.05E-109	3.36E-106
ENSMUSG00000020889	-1.593089572	0.695625842	0.09589401	0.124168611	-0.795170862	-2.053880445	-2.394961457	5.112183191	472.1233983	7.86E-98	8.03E-95
ENSMUSG00000052632	1.904305629	1.867625236	-0.04512329	0.111051598	0.309636648	1.04203217	1.295935313	3.619800737	461.7141807	1.35E-95	1.29E-92
