,MouseType,FastingTime(h)
S25,WT,0
S26,WT,0
S27,WT,0
S67,WT,0
S68,WT,0
S31,WT,2
S32,WT,2
S72,WT,2
S73,WT,2
S74,WT,2
S35,WT,4
S36,WT,4
S37,WT,4
S77,WT,4
S78,WT,4
S41,WT,6
S42,WT,6
S82,WT,6
S83,WT,6
S84,WT,6
S45,WT,8
S46,WT,8
S47,WT,8
S87,WT,8
S88,WT,8
S51,WT,12
S52,WT,12
S92,WT,12
S93,WT,12
S94,WT,12
S97,WT,16
S98,WT,16
S102,WT,16
S103,WT,16
S104,WT,16
S55,WT,24
S56,WT,24
S57,WT,24
S61,WT,24
S62,WT,24
S28,ob/ob,0
S29,ob/ob,0
S30,ob/ob,0
S65,ob/ob,0
S66,ob/ob,0
S33,ob/ob,2
S34,ob/ob,2
S69,ob/ob,2
S70,ob/ob,2
S71,ob/ob,2
S38,ob/ob,4
S39,ob/ob,4
S40,ob/ob,4
S75,ob/ob,4
S76,ob/ob,4
S43,ob/ob,6
S44,ob/ob,6
S79,ob/ob,6
S80,ob/ob,6
S81,ob/ob,6
S48,ob/ob,8
S49,ob/ob,8
S50,ob/ob,8
S85,ob/ob,8
S86,ob/ob,8
S53,ob/ob,12
S54,ob/ob,12
S89,ob/ob,12
S90,ob/ob,12
S91,ob/ob,12
S95,ob/ob,16
S96,ob/ob,16
S99,ob/ob,16
S100,ob/ob,16
S101,ob/ob,16
S58,ob/ob,24
S59,ob/ob,24
S60,ob/ob,24
S63,ob/ob,24
S64,ob/ob,24
